,preco_imov,id_imov,cidade,endereco,titulo_imov,vaga,banheiro,condominio,iptu
0,R$ 380.000,Imóvel E6Q4SN,Apartamento em Belo Horizonte,Rua Jornalista Fernando Carvalho,"Apartamento à venda em Planalto com 84 m², 3 quartos, 1 suíte, 1 vaga","3 quartos
1 suíte",1 vaga,R$ 350/mês,R$ 250/mês
0,R$ 380.000,Imóvel 8DQKSC,Apartamento em Belo Horizonte,Avenida Miguel Perrela,"Apartamento à venda em Castelo com 76 m², 3 quartos, 1 suíte, 1 vaga","3 quartos
1 suíte",1 vaga,R$ 400/mês,R$ 1.250/ano
0,R$ 630.000,Imóvel 1Z0O9OJ,Apartamento em Belo Horizonte,Rua Professor Norton Kaiserman,"Apartamento à venda em Anchieta com 92 m², 3 quartos, 1 suíte, 2 vagas","3 quartos
1 suíte",2 vagas,R$ 350/mês,R$ 131/mês
0,R$ 800.000,Imóvel HDJ0WW,Apartamento em Belo Horizonte,Rua Córrego da Mata,"Apartamento à venda em Horto com 58 m², 2 quartos, 1 suíte, 1 vaga","2 quartos
1 suíte",1 vaga,R$ 538/mês,R$ 125/mês
0,R$ 296.000,Imóvel 1J05F0F,Apartamento em Belo Horizonte,Rua Aluísio Lobão Veras,"Apartamento à venda em Serrano com 56 m², 2 quartos, 1 suíte, 1 vaga","2 quartos
1 suíte",1 vaga,R$ 380/mês,R$ 81/mês
0,R$ 820.000,Imóvel U4OLXT,Apartamento em Belo Horizonte,Rua Antônio de Albuquerque,"Apartamento à venda em Savassi com 72 m², 2 quartos, 1 suíte, 2 vagas","2 quartos
1 suíte",2 vagas,R$ 917/mês,R$ 384/mês
0,R$ 630.000,Imóvel TMVID6,Apartamento em Belo Horizonte,Rua Clementino Viana Dotti,"Apartamento à venda em Buritis com 65 m², 2 quartos, 2 suítes, 2 vagas","2 quartos
2 suítes",2 vagas,R$ 760/mês,R$ 250/ano
0,R$ 310.000,Imóvel 1DIS3VL,Apartamento em Belo Horizonte,Rua José Amaral,"Apartamento à venda em Ouro Preto com 64 m², 2 quartos, 1 suíte, 2 vagas","2 quartos
1 suíte",2 vagas,R$ 360/mês,R$ 1.000/ano
0,R$ 331.900,Imóvel YB602F,Apartamento em Belo Horizonte,Rua dos Javaês,"Apartamento à venda em Santa Mônica com 98 m², 3 quartos, 1 suíte, 1 vaga","3 quartos
1 suíte",1 vaga,R$ 320/mês,R$ 70/mês
0,R$ 530.189,Imóvel 2JF3ZJ,Apartamento em Belo Horizonte,Rua Jandiatuba,"Apartamento à venda em Buritis com 85 m², 2 quartos, 1 suíte, 2 vagas","2 quartos
1 suíte",2 vagas,R$ 465/mês,R$ 165/mês
0,R$ 410.000,Imóvel YZYLQ9,Apartamento em Belo Horizonte,Rua Caldas,"Apartamento à venda em Carmo com 69 m², 2 quartos, 1 vaga","2 quartos
sem suíte",1 vaga,R$ 552/mês,R$ 74/mês
0,R$ 585.000,Imóvel 1M9FIML,Apartamento em Belo Horizonte,Rua Rio Grande do Norte,"Apartamento à venda em Savassi com 100 m², 3 quartos, 1 vaga","3 quartos
sem suíte",1 vaga,R$ 340/mês,R$ 121/mês
0,R$ 950.000,Imóvel 1S32ZNE,Apartamento em Belo Horizonte,Rua Maria Macedo,"Apartamento à venda em Nova Granada com 120 m², 3 quartos, 1 suíte, 2 vagas","3 quartos
1 suíte",2 vagas,R$ 990/mês,R$ 294/mês
0,R$ 700.000,Imóvel 5VKKQ9,Apartamento em Belo Horizonte,Rua Califórnia,"Apartamento à venda em Sion com 110 m², 3 quartos, 1 suíte, 2 vagas","3 quartos
1 suíte",2 vagas,R$ 1.038/mês,R$ 265/mês
0,R$ 880.000,Imóvel 1PU6WCY,Apartamento em Belo Horizonte,Rua Eugênio Murilo Rubião,"Apartamento à venda em Anchieta com 100 m², 3 quartos, 1 suíte, 2 vagas","3 quartos
1 suíte",2 vagas,R$ 600/mês,R$ 300/mês
0,R$ 245.000,Imóvel PWCFVR,Apartamento em Belo Horizonte,Rua da Bahia,"Apartamento à venda em Centro com 46 m², 1 quarto, 1 suíte","1 quarto
1 suíte",1 Banheiro,R$ 360/mês,R$ 80/mês
0,R$ 450.000,Imóvel 1PZS1Y,Apartamento em Belo Horizonte,Rua Henrique Sales,"Apartamento à venda em Luxemburgo com 90 m², 3 quartos, 1 suíte, 1 vaga","3 quartos
1 suíte",1 vaga,R$ 400/mês,R$ 135/mês
0,R$ 370.000,Imóvel SW5SDY,Apartamento em Belo Horizonte,Avenida Raja Gabaglia,"Apartamento à venda em Luxemburgo com 50 m², 1 quarto, 1 vaga","1 quarto
sem suíte",1 vaga,R$ 490/mês,R$ 77/mês
0,R$ 380.000,Imóvel USZ589,Apartamento em Belo Horizonte,Rua Shirley Regina das Chagas,"Apartamento à venda em Serrano com 74 m², 3 quartos, 1 suíte, 1 vaga","3 quartos
1 suíte",1 vaga,R$ 450/mês,R$ 1.100/ano
0,R$ 360.000,Imóvel 16K4EKZ,Apartamento em Belo Horizonte,Rua Geraldo Bicalho,"Apartamento à venda em Nova Suíssa com 93 m², 3 quartos, 1 suíte, 1 vaga","3 quartos
1 suíte",1 vaga,R$ 700/mês,R$ 46/mês
