preco_imov;id_imov;cidade;endereco;titulo_imov;vaga;banheiro;condominio;iptu_mes;metros;valor_m2;bairro
R$ 900.000; 16R6LPP;São Paulo;Rua Leonardo Cerveira Varandas;Apartamento à venda em Vila Andrade com 132 m², 3 quartos, 2 suítes, 2 vagas;2;4;R$ 2.027; R$ 712,00 ;132;R$ 6.818;   Vila Andrade         
R$ 2.000.000; 1T31ZTK;São Paulo;Rua Doutor Franco da Rocha;Apartamento à venda em Perdizes com 200 m², 4 quartos, 3 suítes, 3 vagas;3;4;R$ 2.700; R$ 1.050,00 ;200;R$ 10.000;   Perdizes       
R$ 1.590.000; TMUNCJ;São Paulo;Rua Gama Cerqueira;Apartamento à venda em Cambuci com 110 m², 3 quartos, 3 suítes, 2 vagas;2;4;R$ 800; R$ 600,00 ;110;R$ 14.455;   Cambuci       
R$ 1.850.000; 5KHNSL;São Paulo;Alameda Sarutaiá;Apartamento à venda em Jardim Paulista com 222 m², 4 quartos, 4 suítes, 6 vagas;6;6;R$ 3.000; R$ 1.500,00 ;222;R$ 8.333;   Jardim Paulista       
R$ 5.570.000; 19E5ZJD;São Paulo;Rua Campevas;Apartamento à venda em Perdizes com 329 m², 4 quartos, 4 suítes, 6 vagas;6;6;R$ 3.700; R$ 2.342,00 ;329;R$ 16.930;   Perdizes       
R$ 2.200.000; ZRZN2M;São Paulo;Rua Daniel Rossi;Apartamento à venda em Santana com 143 m², 3 quartos, 3 suítes, 4 vagas;4;5;R$ 1.300; R$ 66,67 ;143;R$ 15.385;   Santana         
R$ 960.000; HJH5CR;São Paulo;Rua das Fiandeiras;Apartamento à venda em Vila Olímpia com 64 m², 2 quartos, 1 vaga;1;1;R$ 1.139; R$ 322,00 ;64;R$ 15.000;   Vila Olímpia         
R$ 2.880.000; BC9121;São Paulo;Rua Araritaguaba;Apartamento à venda em Vila Maria com 784 m², 4 quartos, 4 suítes, 6 vagas;6;6;R$ 3.450; R$ 2.000,00 ;784;R$ 3.673;   Vila Maria         
R$ 1.980.000; 4TD62G;São Paulo;Rua Alfredo Pujol;Apartamento à venda em Santana com 227 m², 3 quartos, 1 suíte, 5 vagas;5;6;R$ 2.000; R$ 16,00 ;227;R$ 8.722;   Santana         
R$ 763.200; 1DU7WNE;São Paulo;Rua Alfredo Pujol;Apartamento à venda em Santana com 72 m², 3 quartos, 1 suíte, 1 vaga;1;2;R$ 810; R$ 220,00 ;72;R$ 10.600;   Santana         
R$ 1.600.000; H8L9B3;São Paulo;Rua Pascal;Apartamento à venda em Campo Belo com 241 m², 4 quartos, 3 suítes, 4 vagas;4;5;R$ 4.424; R$ 1.683,00 ;241;R$ 6.639;   Campo Belo         
R$ 1.250.000; ORREUB;São Paulo;Rua Itamira;Apartamento à venda em Vila Andrade com 210 m², 3 quartos, 3 suítes, 3 vagas;3;5;R$ 2.940; R$ 765,00 ;210;R$ 5.952;   Vila Andrade         
R$ 3.090.000; 1364GCH;São Paulo;Alameda Afonso Schmidt;Apartamento à venda em Santana com 260 m², 3 quartos, 3 suítes, 5 vagas;5;5;R$ 3.400; R$ 2.200,00 ;260;R$ 11.885;   Santana         
R$ 1.900.000; 15TIHXD;São Paulo;Rua Santa Branca;Apartamento à venda em Bela Vista com 186 m², 3 quartos, 1 suíte, 1 vaga;1;4;R$ 1.783; R$ 632,00 ;186;R$ 10.215;   Bela Vista         
R$ 4.250.000; 1J5KWFW;São Paulo;Rua São Vicente de Paulo;Apartamento à venda em Santa Cecília com 250 m², 4 quartos, 4 suítes, 4 vagas;4;4;R$ 4.000; R$ 241,67 ;250;R$ 17.000;   Santa Cecília       
R$ 990.000; CNIQ8O;São Paulo;Rua Padre Raposo;Apartamento à venda em Mooca com 160 m², 3 quartos, 1 suíte, 2 vagas;2;3;R$ 2.100; R$ 366,67 ;160;R$ 6.188;   Mooca     
R$ 800.000; 1GWLE7S;São Paulo;Rua Lutécia;Apartamento à venda em Carrão com 105 m², 3 quartos, 1 suíte, 2 vagas;2;4;R$ 1.000; R$ -   ;105;R$ 7.619;   Carrão       
R$ 3.500.000; 6Q34IA;São Paulo;Rua Tatuí;Apartamento à venda em Jardim América com 176 m², 3 quartos, 3 suítes, 3 vagas;3;3;R$ 3.500; R$ 2.500,00 ;176;R$ 19.886;   Jardim América         
R$ 1.999.000; 102N21J;São Paulo;Rua Nunes Garcia;Apartamento à venda em Santana com 204 m², 3 quartos, 1 suíte, 2 vagas;2;4;R$ 1.800; R$ 31,67 ;204;R$ 9.799;   Santana         
R$ 1.800.000; 194M2JP;São Paulo;Rua Pedro Doll;Apartamento à venda em Santana com 260 m², 3 quartos, 3 suítes, 3 vagas;3;3;Isento; R$ -   ;260;R$ 6.923;   Santana         
R$ 3.925.000; TXMW44;São Paulo;Alameda Campinas;Apartamento à venda em Jardim Paulistano com 460 m², 4 quartos, 2 suítes, 2 vagas;2;3;R$ 3.333; R$ 118,92 ;460;R$ 8.533;   Jardim Paulistano       
