preco_imov;id_imov;cidade;endereco;titulo_imov;vaga;banheiro;condominio;iptu_mes;metros;valor_m2;bairro
R$ 424.000; QTX37P;São Paulo;Rua Eça de Queiroz;Apartamento à venda em Vila Mariana com 61 m², 1 quarto;0;1;R$ 350; R$ -   ;61;R$ 6.951;   Vila Mariana       
R$ 2.142.500; 14WIIK7;São Paulo;Rua Paulistânia;Apartamento à venda em Vila Madalena com 110 m², 2 quartos, 1 suíte, 1 vaga;1;3;R$ 1.200; R$ 29,17 ;110;R$ 19.477;   Vila Madalena         
R$ 960.000; YLNNJH;São Paulo;Rua Bagé;Apartamento à venda em Vila Mariana com 120 m², 3 quartos, 1 suíte;Indisponivel;4;R$ 800; R$ -   ;120;R$ 8.000;   Vila Mariana       
R$ 1.480.000; 4J1VYG;São Paulo;Rua Ribeiro de Barros;Apartamento à venda em Vila Romana com 90 m², 2 quartos, 2 suítes, 2 vagas;2;2;R$ 900; R$ 166,67 ;90;R$ 16.444;   Vila Romana         
R$ 4.000.000; 1S07NOY;São Paulo;Alameda Fernão Cardim;Apartamento à venda em Jardim Paulista com 396 m², 4 quartos, 4 suítes, 4 vagas;4;8;R$ 7.400; R$ 283,33 ;396;R$ 10.101;   Jardim Paulista       
R$ 550.000; NQFH3K;São Paulo;Rua da Consolação;Apartamento à venda em Bela Vista com 35 m², 1 quarto, 1 suíte, 1 vaga;1;2;R$ 528; R$ 0,50 ;35;R$ 15.714;   Bela Vista         
R$ 1.040.000; P5JAJ6;São Paulo;Rua Doutor Guilherme Bannitz;Apartamento à venda em Vila Olímpia com 46 m², 1 quarto, 1 suíte, 1 vaga;1;1;R$ 800; R$ 149,00 ;46;R$ 22.609;   Vila Olímpia         
R$ 1.298.000; 149NZA8;São Paulo;Rua Professor Ciridião Buarque;Apartamento à venda em Vila Romana com 96 m², 2 quartos, 1 suíte, 2 vagas;2;3;R$ 1.200; R$ 27,83 ;96;R$ 13.521;   Vila Romana         
R$ 2.120.000; 1Q247U9;São Paulo;Rua Sergipe;Apartamento à venda em Higienópolis com 120 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 1.800; R$ 333,33 ;120;R$ 17.667;   Higienópolis       
R$ 4.250.000; 1QAK4JO;São Paulo;Alameda Jaú;Apartamento à venda em Jardim Paulista com 270 m², 4 quartos, 3 suítes, 4 vagas;4;7;R$ 3.800; R$ 208,33 ;270;R$ 15.741;   Jardim Paulista       
R$ 1.780.000; 1UPUGE2;São Paulo;Rua Silveira Rodrigues;Apartamento à venda em Vila Romana com 132 m², 3 quartos, 3 suítes, 3 vagas;3;8;R$ 1.300; R$ 65,00 ;132;R$ 13.485;   Vila Romana         
R$ 1.235.000; 1OQMNDQ;São Paulo;Avenida Cotovia;Apartamento à venda em Moema Pássaros com 96 m², 3 quartos, 2 suítes, 2 vagas;2;3;R$ 1.300; R$ 35,00 ;96;R$ 12.865;   Moema Pássaros         
R$ 860.000; 19RIC53;São Paulo;Rua Gonçalo da Cunha;Apartamento à venda em Bosque da Saúde com 68 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 720; R$ 233,33 ;68;R$ 12.647;   Bosque da Saúde         
R$ 4.300.000; HEWL15;São Paulo;Rua São Domingos Sávio;Apartamento à venda em Alto de Pinheiros com 445 m², 4 quartos, 4 suítes, 6 vagas;6;9;R$ 5.880; R$ 384,58 ;445;R$ 9.663;   Alto de Pinheiros       
R$ 1.150.000; 27XLCX;São Paulo;Rua Pedro Pomponazzi;Apartamento à venda em Chácara Klabin com 126 m², 3 quartos, 1 suíte, 2 vagas;2;3;R$ 2.300; R$ 84,42 ;126;R$ 9.127;   Chácara Klabin         
R$ 1.750.000; 1GLQ15A;São Paulo;Rua Girassol;Apartamento à venda em Vila Madalena com 154 m², 4 quartos, 3 suítes, 2 vagas;2;8;R$ 2.446; R$ 58,33 ;154;R$ 11.364;   Vila Madalena         
R$ 1.700.000; 1KQ2EX3;São Paulo;Rua Doutor Mário Ferraz;Apartamento à venda em Itaim Bibi com 50 m², 1 quarto, 1 suíte, 1 vaga;1;1;R$ 1.000; R$ 303,25 ;50;R$ 34.000;   Itaim Bibi       
R$ 900.000; 13NPPVM;São Paulo;Rua Orissanga;Apartamento à venda em Bosque da Saúde com 110 m², 3 quartos, 1 suíte, 2 vagas;2;2;R$ 1.179; R$ 373,00 ;110;R$ 8.182;   Bosque da Saúde         
R$ 3.200.000; 1U8LZ64;São Paulo;Rua Aimberê;Apartamento à venda em Perdizes com 190 m², 3 quartos, 3 suítes, 6 vagas;6;9;R$ 2.500; R$ 117,25 ;190;R$ 16.842;   Perdizes       
R$ 1.050.000; 1VRPWFG;São Paulo;Rua Bento Branco de Andrade Filho;Apartamento à venda em Santo Amaro com 92 m², 3 quartos, 1 suíte, 2 vagas;2;3;R$ 850; R$ 166,67 ;92;R$ 11.413;   Santo Amaro         
R$ 1.700.000; RC1UQ4;São Paulo;Rua Senador César Lacerda Vergueiro;Apartamento à venda em Vila Madalena com 127 m², 3 quartos, 2 suítes, 2 vagas;2;3;R$ 2.200; R$ 333,00 ;127;R$ 13.386;   Vila Madalena         
R$ 1.272.000; 11DKMNL;São Paulo;Avenida Doutor Altino Arantes;Apartamento à venda em Bosque da Saúde com 100 m², 2 quartos, 1 suíte, 1 vaga;1;3;R$ 1.000; R$ 15,75 ;100;R$ 12.720;   Bosque da Saúde         
R$ 3.100.000; 1O8NLSN;São Paulo;Rua Viradouro;Apartamento à venda em Itaim Bibi com 117 m², 2 quartos, 2 suítes, 3 vagas;3;4;R$ 2.240; R$ 724,00 ;117;R$ 26.496;   Itaim Bibi       
R$ 2.720.000; 1FQN6E;São Paulo;Rua Sabará;Apartamento à venda em Higienópolis com 252 m², 3 quartos, 1 suíte, 1 vaga;1;5;R$ 2.100; R$ 40,67 ;252;R$ 10.794;   Higienópolis       
R$ 1.575.000; H2DPHB;São Paulo;Rua Leopoldo Couto de Magalhães Júnior;Apartamento à venda em Itaim Bibi com 61 m², 1 quarto, 1 suíte, 2 vagas;2;1;R$ 1.600; R$ 322,50 ;61;R$ 25.820;   Itaim Bibi       
R$ 1.172.150; 1F8JON6;São Paulo;Rua Paulistânia;Apartamento à venda em Vila Madalena com 72 m², 1 quarto, 1 suíte, 1 vaga;1;2;R$ 700; R$ -   ;72;R$ 16.280;   Vila Madalena         
R$ 2.600.000; 1JQ2TBJ;São Paulo;Rua Caraíbas;Apartamento à venda em Perdizes com 160 m², 3 quartos, 2 vagas;2;4;R$ 2.125; R$ 82,25 ;160;R$ 16.250;   Perdizes       
R$ 872.341; 1ALEPG0;São Paulo;Rua Caramuru;Apartamento à venda em Bosque da Saúde com 87 m², 3 quartos, 1 suíte, 2 vagas;2;3;R$ 1.309; R$ 350,00 ;87;R$ 10.027;   Bosque da Saúde         
R$ 1.100.000; 1W4995G;São Paulo;Rua Dona Veridiana;Apartamento à venda em Higienópolis com 105 m², 2 quartos, 1 vaga;1;3;R$ 950; R$ 29,17 ;105;R$ 10.476;   Higienópolis       
R$ 445.200; A9DY1R;São Paulo;Rua Nhu-Guaçu;Apartamento à venda em Campo Belo com 44 m², 1 quarto, 1 vaga;1;1;R$ 200; R$ 16,67 ;44;R$ 10.118;   Campo Belo         
R$ 1.300.000; ZD23AB;São Paulo;Avenida Higienópolis;Apartamento à venda em Higienópolis com 115 m², 3 quartos, 1 vaga;1;1;R$ 1.030; R$ 23,33 ;115;R$ 11.304;   Higienópolis       
R$ 1.800.000; 1D30V06;São Paulo;Rua Paraguassu;Apartamento à venda em Perdizes com 189 m², 3 quartos, 3 suítes, 3 vagas;3;6;R$ 3.100; R$ 104,42 ;189;R$ 9.524;   Perdizes       
R$ 1.272.000; 2NQCYW;São Paulo;Avenida Fagundes Filho;Apartamento à venda em Saúde com 73 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 580; R$ 312,00 ;73;R$ 17.425;   Saúde         
R$ 960.000; 143G1KW;São Paulo;Rua dos Democratas;Apartamento à venda em Saúde com 96 m², 3 quartos, 1 suíte, 2 vagas;2;3;R$ 959; R$ 117,50 ;96;R$ 10.000;   Saúde         
R$ 2.800.000; 1U57GW2;São Paulo;Alameda dos Anapurus;Apartamento à venda em Moema Índios com 202 m², 4 quartos, 4 suítes, 3 vagas;3;4;R$ 3.590; R$ 1.314,17 ;202;R$ 13.861;   Moema Índios       
R$ 2.780.000; 574L4Q;São Paulo;Avenida Divino Salvador;Apartamento à venda em Moema Índios com 151 m², 2 quartos, 1 suíte, 2 vagas;2;3;R$ 1.600; R$ 550,00 ;151;R$ 18.411;   Moema Índios       
R$ 1.140.000; 73GP5L;São Paulo;Rua do Rocio;Apartamento à venda em Brooklin com 76 m², 3 quartos, 1 vaga;1;1;R$ 1.029; R$ 183,00 ;76;R$ 15.000;   Brooklin         
R$ 1.499.000; 1SYXG0W;São Paulo;Rua Doutor Alfredo Ellis;Apartamento à venda em Bela Vista com 245 m², 3 quartos, 1 vaga;1;4;R$ 1.750; R$ 19,33 ;245;R$ 6.118;   Bela Vista         
R$ 1.490.000; 116JV1D;São Paulo;Rua Conceição de Monte Alegre;Apartamento à venda em Brooklin com 93 m², 3 quartos, 1 suíte, 2 vagas;2;3;R$ 1.400; R$ 416,67 ;93;R$ 16.022;   Brooklin         
R$ 1.200.000; I89J2K;São Paulo;Rua Ministro Godói;Apartamento à venda em Perdizes com 140 m², 3 quartos, 2 suítes, 2 vagas;2;5;R$ 1.900; R$ 41,67 ;140;R$ 8.571;   Perdizes       
R$ 1.346.200; 1J19FOM;São Paulo;Rua Geórgia;Apartamento à venda em Campo Belo com 128 m², 3 quartos, 1 suíte, 2 vagas;2;2;R$ 2.000; R$ 39,17 ;128;R$ 10.517;   Campo Belo         
R$ 4.500.000; YEPPWD;São Paulo;Rua Dona Veridiana;Apartamento à venda em Bela Vista com 400 m², 2 quartos, 2 suítes, 4 vagas;4;6;R$ 3.000; R$ 141,67 ;400;R$ 11.250;   Bela Vista         
R$ 1.490.000; 1TXVETA;São Paulo;Rua Mourato Coelho;Apartamento à venda em Pinheiros com 82 m², 2 quartos, 2 suítes, 2 vagas;2;5;R$ 1.190; R$ -   ;82;R$ 18.171;   Pinheiros       
R$ 810.000; 1GIDM33;São Paulo;Rua Ouro Branco;Apartamento à venda em Jardim Paulistano com 47 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 999; R$ 368,00 ;47;R$ 17.234;   Jardim Paulistano       
R$ 1.380.000; 9559XL;São Paulo;Rua Artur de Azevedo;Apartamento à venda em Pinheiros com 105 m², 3 quartos, 1 suíte, 1 vaga;1;2;R$ 1.453; R$ 258,33 ;105;R$ 13.143;   Pinheiros       
R$ 1.620.000; 1PQFOWT;São Paulo;Rua Cincinato Braga;Apartamento à venda em Bela Vista com 169 m², 3 quartos, 1 vaga;1;2;R$ 1.400; R$ 375,00 ;169;R$ 9.586;   Bela Vista         
R$ 1.500.000; 1F6V0BU;São Paulo;Rua Bela Cintra;Apartamento à venda em Bela Vista com 114 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 1.100; R$ 150,00 ;114;R$ 13.158;   Bela Vista         
R$ 1.100.000; 28PXJ;São Paulo;Rua Doutor Alfredo Ellis;Apartamento à venda em Bela Vista com 126 m², 3 quartos, 1 suíte, 1 vaga;1;4;R$ 1.300; R$ 39,00 ;126;R$ 8.730;   Bela Vista         
R$ 1.203.800; 10VFT6V;São Paulo;Rua França Pinto;Apartamento à venda em Vila Mariana com 81 m², 2 quartos, 2 suítes, 2 vagas;2;5;R$ 997; R$ 28,17 ;81;R$ 14.862;   Vila Mariana       
R$ 2.250.000; 1DC2SKQ;São Paulo;Rua Carlos Comenale;Apartamento à venda em Bela Vista com 135 m², 2 quartos, 2 suítes, 1 vaga;1;2;R$ 1.300; R$ 29,00 ;135;R$ 16.667;   Bela Vista         
R$ 1.800.000; 14F281B;São Paulo;Avenida Jandira;Apartamento à venda em Moema Índios com 71 m², 2 quartos, 1 suíte, 2 vagas;2;2;R$ 800; R$ 257,00 ;71;R$ 25.352;   Moema Índios       
R$ 2.127.000; 9N3DN;São Paulo;Rua Antônio de Macedo Soares;Apartamento à venda em Campo Belo com 136 m², 3 quartos, 3 suítes, 2 vagas;2;4;R$ 1.348; R$ 780,00 ;136;R$ 15.640;   Campo Belo         
R$ 1.680.000; Y3CM2Y;São Paulo;Rua Afonso de Freitas;Apartamento à venda em Paraíso com 105 m², 2 quartos, 2 suítes, 2 vagas;2;3;R$ 1.200; R$ 509,00 ;105;R$ 16.000;   Paraíso         
R$ 1.380.000; VPJ5P8;São Paulo;Alameda Joaquim Eugênio de Lima;Apartamento à venda em Bela Vista com 76 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 990; R$ 311,00 ;76;R$ 18.158;   Bela Vista         
R$ 1.080.000; 88SRL7;São Paulo;Rua Jorge Chammas;Apartamento à venda em Vila Mariana com 65 m², 1 quarto, 1 suíte, 1 vaga;1;1;R$ 750; R$ 280,00 ;65;R$ 16.615;   Vila Mariana       
R$ 2.370.000; ZFX4QZ;São Paulo;Rua Salto;Apartamento à venda em Paraíso com 127 m², 3 quartos, 1 suíte, 2 vagas;2;2;R$ 1.500; R$ 985,00 ;127;R$ 18.661;   Paraíso         
R$ 1.450.000; H75T4I;São Paulo;Rua Ministro Ferreira Alves;Apartamento à venda em Perdizes com 120 m², 2 quartos, 2 suítes, 2 vagas;2;3;R$ 900; R$ 13,33 ;120;R$ 12.083;   Perdizes       
R$ 1.200.000; H6GWU0;São Paulo;Rua Francisco Leitão;Apartamento à venda em Pinheiros com 101 m², 3 quartos, 1 suíte, 2 vagas;2;3;R$ 1.269; R$ 360,00 ;101;R$ 11.881;   Pinheiros       
R$ 1.430.000; EQ2Y8;São Paulo;Rua Eugênio de Medeiros;Apartamento à venda em Pinheiros com 60 m², 1 quarto, 1 suíte, 2 vagas;2;2;R$ 590; R$ 300,00 ;60;R$ 23.833;   Pinheiros       
R$ 2.000.000; 1Q8XHIV;São Paulo;Avenida Francisco Matarazzo;Apartamento à venda em Perdizes com 130 m², 3 quartos, 1 suíte, 2 vagas;2;3;R$ 1.200; R$ 66,67 ;130;R$ 15.385;   Perdizes       
R$ 1.850.000; 15KCS4B;São Paulo;Rua Michigan;Apartamento à venda em Brooklin com 83 m², 1 quarto, 1 suíte, 2 vagas;2;2;R$ 900; R$ 284,00 ;83;R$ 22.289;   Brooklin         
R$ 1.980.000; 1UEGWPX;São Paulo;Rua Princesa Isabel;Apartamento à venda em Campo Belo com 125 m², 3 quartos, 2 suítes, 2 vagas;2;4;R$ 1.300; R$ 468,00 ;125;R$ 15.840;   Campo Belo         
R$ 900.000; XQRU2X;São Paulo;Rua Paula Ney;Apartamento à venda em Aclimação com 65 m², 2 quartos, 1 suíte, 2 vagas;2;2;R$ 800; R$ 125,00 ;65;R$ 13.846;   Aclimação         
R$ 2.340.000; 40YVA6;São Paulo;Rua Casa do Ator;Apartamento à venda em Vila Olímpia com 120 m², 2 quartos, 1 suíte, 3 vagas;3;3;R$ 1.075; R$ 567,00 ;120;R$ 19.500;   Vila Olímpia         
R$ 1.460.000; 1YTGDJU;São Paulo;Rua Doutor Ivo Define Frasca;Apartamento à venda em Vila Olímpia com 70 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 800; R$ 260,00 ;70;R$ 20.857;   Vila Olímpia         
R$ 1.274.200; 17JLO95;São Paulo;Rua Teixeira da Silva;Apartamento à venda em Paraíso com 101 m², 3 quartos, 1 suíte, 2 vagas;2;2;R$ 1.250; R$ 241,00 ;101;R$ 12.616;   Paraíso         
R$ 1.190.000; 1FKYXBM;São Paulo;Rua Tonelero;Apartamento à venda em Vila Romana com 100 m², 3 quartos, 1 suíte, 2 vagas;2;3;R$ 700; R$ 316,67 ;100;R$ 11.900;   Vila Romana         
R$ 1.550.000; YF14F3;São Paulo;Rua dos Pinheiros;Apartamento à venda em Pinheiros com 72 m², 1 quarto, 1 suíte, 1 vaga;1;2;R$ 820; R$ 158,00 ;72;R$ 21.528;   Pinheiros       
R$ 1.900.000; 1IYL1HV;São Paulo;Rua Michigan;Apartamento à venda em Brooklin com 94 m², 2 quartos, 2 suítes, 2 vagas;2;3;R$ 1.200; R$ 500,00 ;94;R$ 20.213;   Brooklin         
R$ 2.150.000; 1BD3775;São Paulo;Rua Mourato Coelho;Apartamento à venda em Vila Madalena com 120 m², 3 quartos, 1 suíte, 2 vagas;2;3;R$ 1.100; R$ 427,00 ;120;R$ 17.917;   Vila Madalena         
R$ 1.280.000; D93UN3;São Paulo;Rua Carneiro da Cunha;Apartamento à venda em Saúde com 103 m², 3 quartos, 2 suítes, 3 vagas;3;4;R$ 950; R$ 550,00 ;103;R$ 12.427;   Saúde         
R$ 1.520.000; 1WQ6JUM;São Paulo;Alameda Joaquim Eugênio de Lima;Apartamento à venda em Jardim Paulista com 79 m², 2 quartos, 2 suítes, 2 vagas;2;2;R$ 1.000; R$ 584,00 ;79;R$ 19.241;   Jardim Paulista       
R$ 680.000; 1F4I125;São Paulo;Rua Lino Coutinho;Apartamento à venda em Ipiranga com 60 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 650; R$ 166,00 ;60;R$ 11.333;   Ipiranga         
R$ 1.170.000; 1DUZ8FZ;São Paulo;Avenida Brigadeiro Luís Antônio;Apartamento à venda em Paraíso com 122 m², 3 quartos, 1 suíte, 1 vaga;1;3;R$ 1.236; R$ 281,00 ;122;R$ 9.590;   Paraíso         
R$ 1.400.000; 96GXQT;São Paulo;Rua Guararapes;Apartamento à venda em Brooklin com 98 m², 1 quarto, 1 suíte, 2 vagas;2;3;R$ 1.025; R$ 230,00 ;98;R$ 14.286;   Brooklin         
R$ 995.000; 5FA832;São Paulo;Rua Dias de Toledo;Apartamento à venda em Saúde com 72 m², 2 quartos, 1 suíte, 2 vagas;2;2;R$ 830; R$ 227,00 ;72;R$ 13.819;   Saúde         
R$ 1.520.000; 1R3BS7E;São Paulo;Rua Arizona;Apartamento à venda em Brooklin com 92 m², 2 quartos, 2 suítes, 2 vagas;2;3;R$ 860; R$ 416,67 ;92;R$ 16.522;   Brooklin         
R$ 1.100.000; 1WXE9YN;São Paulo;Rua Humberto I;Apartamento à venda em Vila Mariana com 98 m², 3 quartos, 1 suíte, 2 vagas;2;4;R$ 1.170; R$ 250,00 ;98;R$ 11.224;   Vila Mariana       
R$ 1.335.077; DNXOGY;São Paulo;Rua Afonso Celso;Apartamento à venda em Bosque da Saúde com 110 m², 2 quartos, 2 suítes, 2 vagas;2;3;R$ 1.200; R$ 435,00 ;110;R$ 12.137;   Bosque da Saúde         
R$ 1.350.000; MMVJW1;São Paulo;Rua Nova York;Apartamento à venda em Brooklin com 63 m², 1 quarto, 1 suíte, 1 vaga;1;2;R$ 940; R$ 128,00 ;63;R$ 21.429;   Brooklin         
R$ 1.060.000; 1KDJC8E;São Paulo;Rua José Antônio Coelho;Apartamento à venda em Vila Mariana com 63 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 731; R$ 258,00 ;63;R$ 16.825;   Vila Mariana       
R$ 1.390.000; OOBW3M;São Paulo;Avenida Rebouças;Apartamento à venda em Pinheiros com 90 m², 2 quartos, 1 vaga;1;1;R$ 890; R$ 116,00 ;90;R$ 15.444;   Pinheiros       
R$ 2.100.000; P18INY;São Paulo;Rua Horácio Lane;Apartamento à venda em Vila Madalena com 121 m², 2 quartos, 2 suítes, 2 vagas;2;4;R$ 1.200; R$ 676,00 ;121;R$ 17.355;   Vila Madalena         
R$ 1.250.000; M9C64X;São Paulo;Avenida Nove de Julho;Apartamento à venda em Jardim Paulista com 118 m², 2 quartos, 1 vaga;1;1;R$ 1.356; R$ 214,00 ;118;R$ 10.593;   Jardim Paulista       
R$ 404.800; 9EY34U;São Paulo;Rua Fernão Dias;Apartamento à venda em Pinheiros com 27 m², 1 quarto;0;1;R$ 300; R$ 250,00 ;27;R$ 14.993;   Pinheiros       
R$ 1.300.000; R1BG38;São Paulo;Rua Fradique Coutinho;Apartamento à venda em Vila Madalena com 77 m², 2 quartos, 1 suíte, 2 vagas;2;2;R$ 1.150; R$ 12,50 ;77;R$ 16.883;   Vila Madalena         
R$ 1.060.000; 1GBJ7EQ;São Paulo;Rua Teixeira da Silva;Apartamento à venda em Paraíso com 109 m², 3 quartos, 1 vaga;1;2;R$ 1.200; R$ 236,00 ;109;R$ 9.725;   Paraíso         
R$ 1.750.000; 1WV17BW;São Paulo;Rua Arandu;Apartamento à venda em Brooklin com 116 m², 3 quartos, 1 suíte, 2 vagas;2;3;R$ 1.346; R$ 370,83 ;116;R$ 15.086;   Brooklin         
R$ 550.000; 1H1NB9U;São Paulo;Rua Alves Guimarães;Apartamento à venda em Pinheiros com 25 m², 1 quarto, 1 suíte;0;1;R$ 300; R$ 100,00 ;25;R$ 22.000;   Pinheiros       
R$ 530.000; 13K91G9;São Paulo;Alameda Lorena;Apartamento à venda em Jardim América com 25 m², 1 quarto, 1 vaga;1;1;R$ 700; R$ 100,00 ;25;R$ 21.200;   Jardim América         
R$ 1.250.000; 1EZSP3R;São Paulo;Rua Roque Petrella;Apartamento à venda em Brooklin com 98 m², 2 quartos, 2 suítes, 2 vagas;2;4;R$ 1.174; R$ 450,00 ;98;R$ 12.755;   Brooklin         
R$ 1.640.000; 5IOD4X;São Paulo;Rua Doutor Fadlo Haidar;Apartamento à venda em Vila Olímpia com 87 m², 3 quartos, 1 suíte, 2 vagas;2;3;R$ 1.200; R$ 520,00 ;87;R$ 18.851;   Vila Olímpia         
R$ 1.850.000; 75BI69;São Paulo;Avenida Francisco Matarazzo;Apartamento à venda em Perdizes com 128 m², 3 quartos, 1 suíte, 2 vagas;2;4;R$ 1.250; R$ 604,00 ;128;R$ 14.453;   Perdizes       
R$ 1.700.000; 1TY3T4L;São Paulo;Rua Pais Leme;Apartamento à venda em Pinheiros com 88 m², 2 quartos, 1 suíte, 2 vagas;2;2;R$ 1.200; R$ 400,00 ;88;R$ 19.318;   Pinheiros       
R$ 1.077.000; BD9VZR;São Paulo;Rua Manuel da Nóbrega;Apartamento à venda em Paraíso com 77 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 900; R$ 3.000,00 ;77;R$ 13.987;   Paraíso         
R$ 1.169.000; OAU82C;São Paulo;Rua Capote Valente;Apartamento à venda em Vila Madalena com 71 m², 3 quartos, 1 suíte, 1 vaga;1;2;R$ 835; R$ 258,00 ;71;R$ 16.465;   Vila Madalena         
R$ 1.490.000; 192CIN5;São Paulo;Rua Maria Carolina;Apartamento à venda em Pinheiros com 55 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 700; R$ 2.000,00 ;55;R$ 27.091;   Pinheiros       
R$ 1.500.000; 1HJHXVH;São Paulo;Rua Martinico Prado;Apartamento à venda em Higienópolis com 100 m², 3 quartos, 1 suíte, 2 vagas;2;4;R$ 951; R$ 596,00 ;100;R$ 15.000;   Higienópolis       
R$ 915.000; ZR4KVR;São Paulo;Rua Maestro Cardim;Apartamento à venda em Bela Vista com 68 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 750; R$ 150,00 ;68;R$ 13.456;   Bela Vista         
R$ 428.000; EYPXKG;São Paulo;Rua Teodoro Sampaio;Apartamento à venda em Pinheiros com 58 m², 1 quarto, 1 vaga;1;1;R$ 470; R$ 82,00 ;58;R$ 7.379;   Pinheiros       
R$ 1.472.000; 1MFG84;São Paulo;Avenida Padre Lebret;Apartamento à venda em Morumbi com 60 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 811; R$ 150,00 ;60;R$ 24.533;   Morumbi       
R$ 590.000; 152QFD4;São Paulo;Rua Iru;Apartamento à venda em Vila Formosa com 65 m², 2 quartos, 1 suíte, 2 vagas;2;2;R$ 565; R$ 560,00 ;65;R$ 9.077;   Vila Formosa       
R$ 700.000; CDNT0I;São Paulo;Rua Diana;Apartamento à venda em Perdizes com 65 m², 2 quartos, 1 suíte, 2 vagas;2;2;R$ 900; R$ 250,00 ;65;R$ 10.769;   Perdizes       
R$ 1.450.000; NYSZDN;São Paulo;Rua Tonelero;Apartamento à venda em Vila Romana com 141 m², 3 quartos, 3 suítes, 2 vagas;2;4;R$ 1.000; R$ 416,67 ;141;R$ 10.284;   Vila Romana         
R$ 1.400.000; PM04KH;São Paulo;Rua Otávio Tarquínio de Souza;Apartamento à venda em Campo Belo com 103 m², 2 quartos, 2 suítes, 2 vagas;2;2;R$ 870; R$ 520,00 ;103;R$ 13.592;   Campo Belo         
R$ 1.720.000; JW5IH7;São Paulo;Rua Doutor Virgílio de Carvalho Pinto;Apartamento à venda em Pinheiros com 110 m², 3 quartos, 1 suíte, 2 vagas;2;3;R$ 915; R$ 513,00 ;110;R$ 15.636;   Pinheiros       
R$ 883.200; KEXZFK;São Paulo;Rua Joaquim Guarani;Apartamento à venda em Santo Amaro com 70 m², 2 quartos, 1 vaga;1;1;R$ 750; R$ 290,00 ;70;R$ 12.617;   Santo Amaro         
R$ 935.000; 9B6KL8;São Paulo;Rua dos Pinheiros;Apartamento à venda em Pinheiros com 50 m², 1 quarto, 1 suíte, 1 vaga;1;1;R$ 415; R$ 122,00 ;50;R$ 18.700;   Pinheiros       
R$ 1.700.000; 1OOJPRY;São Paulo;Rua João Moura;Apartamento à venda em Pinheiros com 113 m², 3 quartos, 1 suíte, 3 vagas;3;4;R$ 1.200; R$ 600,00 ;113;R$ 15.044;   Pinheiros       
R$ 1.299.000; T12U0T;São Paulo;Rua Domiciano Leite Ribeiro;Apartamento à venda em Jabaquara com 127 m², 3 quartos, 1 suíte, 2 vagas;2;4;R$ 750; R$ 350,00 ;127;R$ 10.228;   Jabaquara       
R$ 900.000; 13C97I4;São Paulo;Rua Carvalho de Freitas;Apartamento à venda em Vila Andrade com 109 m², 2 quartos, 2 suítes, 2 vagas;2;3;R$ 900; R$ 200,00 ;109;R$ 8.257;   Vila Andrade         
R$ 920.000; 1GS4PIK;São Paulo;Rua Henri Dunant;Apartamento à venda em Santo Amaro com 55 m², 1 quarto, 1 suíte, 1 vaga;1;2;R$ 600; R$ 9,00 ;55;R$ 16.727;   Santo Amaro         
R$ 2.099.000; 12RA38;São Paulo;Rua Doutor Paulo Vieira;Apartamento à venda em Sumaré com 132 m², 4 quartos, 2 suítes, 3 vagas;3;6;R$ 1.200; R$ 79,17 ;132;R$ 15.902;   Sumaré       
R$ 475.000; 1C3KIGC;São Paulo;Rua Alves Guimarães;Apartamento à venda em Pinheiros com 26 m², 1 quarto;0;1;R$ 340; R$ 100,00 ;26;R$ 18.269;   Pinheiros       
R$ 890.000; 1NKDMD5;São Paulo;Rua Joaquim Guarani;Apartamento à venda em Santo Amaro com 70 m², 1 quarto, 1 suíte, 1 vaga;1;1;R$ 642; R$ 274,00 ;70;R$ 12.714;   Santo Amaro         
R$ 1.000.000; JHM9SQ;São Paulo;Rua Tagipuru;Apartamento à venda em Perdizes com 70 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 650; R$ 9,17 ;70;R$ 14.286;   Perdizes       
R$ 620.000; I5BXT4;São Paulo;Rua Artur Prado;Apartamento à venda em Bela Vista com 41 m², 1 quarto, 1 suíte, 1 vaga;1;1;R$ 661; R$ 188,00 ;41;R$ 15.122;   Bela Vista         
R$ 1.300.000; 1BM13QB;São Paulo;Rua Paris;Apartamento à venda em Sumaré com 68 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 560; R$ 160,00 ;68;R$ 19.118;   Sumaré       
R$ 460.000; 1FIWV7C;São Paulo;Alameda Jaú;Apartamento à venda em Jardim Paulista com 30 m², 1 quarto;0;1;R$ 420; R$ 80,00 ;30;R$ 15.333;   Jardim Paulista       
