,preco_imov,id_imov,cidade,endereco,titulo_imov,vaga,banheiro,etc_apart,condominio,iptu
0,R$ 1.690.000,Imóvel 1XB9W4F,Apartamento em São Paulo,Rua Cristiano Viana,"Apartamento à venda em Pinheiros com 72 m², 2 quartos, 1 suíte, 1 vaga",1 vaga,2 Banheiros,Lavabo,R$ 930/mês,R$ 200/ano
0,R$ 3.730.000,Imóvel 4O9S8A,Apartamento em São Paulo,Rua Ministro Gabriel de Rezende Passos,"Apartamento à venda em Moema Pássaros com 224 m², 3 quartos, 3 suítes, 3 vagas",3 vagas,3 Banheiros,Lavabo,R$ 5.000/mês,Isento
0,R$ 600.000,Imóvel 1XIE8KT,Apartamento em São Paulo,Rua Oscar Freire,"Apartamento à venda em Pinheiros com 19 m², 1 quarto",1 Banheiro,Mobiliado,Indisponivel,R$ 350/mês,R$ 700/ano
0,R$ 1.850.000,Imóvel 1BNDI3U,Apartamento em São Paulo,Rua João Moura,"Apartamento à venda em Pinheiros com 140 m², 2 quartos, 1 suíte, 1 vaga",1 vaga,4 Banheiros,Indisponivel,R$ 1.090/mês,R$ 223/ano
0,R$ 3.500.000,Imóvel HN56B9,Apartamento em São Paulo,Alameda Franca,"Apartamento à venda em Jardim Paulista com 350 m², 4 quartos, 4 suítes, 4 vagas",4 vagas,10 Banheiros,Indisponivel,R$ 4.500/mês,R$ 1.900/ano
0,R$ 1.850.000,Imóvel 1UJB7NH,Apartamento em São Paulo,Rua Ulisses Cruz,"Apartamento à venda em Tatuapé com 131 m², 3 quartos, 3 suítes, 2 vagas",2 vagas,4 Banheiros,Indisponivel,R$ 729/mês,R$ 350/ano
0,R$ 1.500.000,Imóvel 7QSS5F,Apartamento em São Paulo,Rua Castro Alves,"Apartamento à venda em Aclimação com 180 m², 4 quartos, 1 vaga",1 vaga,3 Banheiros,Indisponivel,R$ 1.851/mês,R$ 336/ano
0,R$ 1.036.685,Imóvel R9YUU0,Apartamento em São Paulo,Rua Frei Caneca,"Apartamento à venda em Bela Vista com 127 m², 6 quartos, 2 suítes, 1 vaga",1 vaga,3 Banheiros,Lavabo,R$ 550/mês,R$ 2.160/ano
0,R$ 10.800.000,Imóvel 1G9H7BD,Apartamento em São Paulo,Rua Zacarias de Gois,"Apartamento à venda em Campo Belo com 487 m², 4 quartos, 4 suítes, 5 vagas",5 vagas,6 Banheiros,Lavabo,R$ 5.600/mês,R$ 3.700/ano
0,R$ 2.000.000,Imóvel RT3R2J,Apartamento em São Paulo,Rua Azevedo Soares,"Apartamento à venda em Tatuapé com 224 m², 4 quartos, 1 suíte, 4 vagas",4 vagas,5 Banheiros,Indisponivel,R$ 1.200/mês,Isento
0,R$ 1.600.866,Imóvel PHT2R1,Apartamento em São Paulo,Rua Álvaro Neto,"Apartamento à venda em Aclimação com 160 m², 4 quartos, 2 suítes, 2 vagas",2 vagas,3 Banheiros,Lavabo,R$ 1.885/mês,R$ 850/ano
0,R$ 1.600.000,Imóvel 1WUKR74,Apartamento em São Paulo,Rua Caraíbas,"Apartamento à venda em Perdizes com 128 m², 4 quartos, 2 suítes, 2 vagas",2 vagas,4 Banheiros,Lavabo,R$ 1.169/mês,R$ 6.110/ano
0,R$ 2.900.000,Imóvel Y4FNQ6,Apartamento em São Paulo,Alameda Afonso Schmidt,"Apartamento à venda em Santana com 265 m², 4 quartos, 4 suítes, 5 vagas",5 vagas,6 Banheiros,Indisponivel,R$ 3.500/mês,R$ 2.420/ano
0,R$ 1.696.000,Imóvel SF43AR,Apartamento em São Paulo,Rua Melo Peixoto,"Apartamento à venda em Tatuapé com 130 m², 2 quartos, 1 suíte, 2 vagas",2 vagas,2 Banheiros,Indisponivel,R$ 917/mês,R$ 4.000/ano
0,R$ 1.600.000,Imóvel O0DIY7,Apartamento em São Paulo,Rua Pedro Doll,"Apartamento à venda em Santana com 270 m², 4 quartos, 4 suítes, 3 vagas",3 vagas,4 Banheiros,Indisponivel,R$ 2.760/mês,R$ 1/ano
0,R$ 3.280.000,Imóvel 19QQSJT,Apartamento em São Paulo,Avenida Nove de Julho,"Apartamento à venda em Jardim Paulista com 250 m², 4 quartos, 3 suítes, 2 vagas",2 vagas,5 Banheiros,Lavabo,R$ 2.800/mês,R$ 11.200/ano
0,R$ 3.200.000,Imóvel F0I2SM,Apartamento em São Paulo,Avenida Senador Casimiro da Rocha,"Apartamento à venda em Bosque da Saúde com 200 m², 4 quartos, 4 suítes, 3 vagas",3 vagas,4 Banheiros,Lavabo,R$ 1.800/mês,R$ 14.400/ano
0,R$ 2.100.000,Imóvel 1Y9L1TE,Apartamento em São Paulo,Rua Lisboa,"Apartamento à venda em Pinheiros com 82 m², 2 quartos, 2 suítes, 2 vagas",2 vagas,6 Banheiros,Indisponivel,R$ 1.250/mês,Isento
0,R$ 3.790.000,Imóvel LV0AQA,Apartamento em São Paulo,Rua Diogo Jácome,"Apartamento à venda em Moema Pássaros com 134 m², 2 quartos, 2 suítes, 2 vagas",2 vagas,3 Banheiros,Lavabo,R$ 2.500/mês,R$ 666/mês
0,R$ 2.200.000,Imóvel 1Q1C4ZJ,Apartamento em São Paulo,Rua Abílio Soares,"Apartamento à venda em Paraíso com 195 m², 3 quartos, 1 suíte, 2 vagas",2 vagas,3 Banheiros,Lavabo,R$ 1.700/mês,R$ 7.000/ano
0,R$ 4.120.325,Imóvel 6915X1,Apartamento em São Paulo,Alameda Franca,"Apartamento à venda em Jardim Paulista com 244 m², 3 quartos, 1 suíte, 3 vagas",3 vagas,3 Banheiros,Lavabo,R$ 3.818/mês,R$ 23.000/ano
0,R$ 3.200.000,Imóvel 1RJCZFX,Apartamento em São Paulo,Alameda Sarutaiá,"Apartamento à venda em Jardim Paulista com 140 m², 3 quartos, 1 suíte, 1 vaga",1 vaga,2 Banheiros,Lavabo,R$ 1.750/mês,R$ 350/mês
0,R$ 2.350.000,Imóvel 1R1R71O,Apartamento em São Paulo,Rua Flórida,"Apartamento à venda em Brooklin com 100 m², 2 quartos, 1 suíte, 2 vagas",2 vagas,3 Banheiros,Lavabo,R$ 2.000/mês,R$ 4.750/ano
0,R$ 3.000.000,Imóvel MQMN8O,Apartamento em São Paulo,Rua Pintassilgo,"Apartamento à venda em Moema Pássaros com 250 m², 4 quartos, 2 suítes, 3 vagas",3 vagas,3 Banheiros,Lavabo,R$ 4.196/mês,R$ 14.300/ano
0,R$ 3.800.000,Imóvel 1U5D6FL,Apartamento em São Paulo,Rua José Maria Lisboa,"Apartamento à venda em Jardim Paulista com 382 m², 4 quartos, 3 suítes, 2 vagas",2 vagas,4 Banheiros,Lavabo,R$ 3.900/mês,R$ 2.106/mês
0,R$ 2.400.000,Imóvel 12UIZDH,Apartamento em São Paulo,Rua Carlos Escobar,"Apartamento à venda em Santana com 162 m², 4 quartos, 3 suítes, 3 vagas",3 vagas,5 Banheiros,Indisponivel,R$ 1.726/mês,R$ 83/mês
0,R$ 3.300.000,Imóvel 17VFU,Apartamento em São Paulo,Rua Abílio Soares,"Apartamento à venda em Paraíso com 153 m², 2 quartos, 1 suíte, 1 vaga",1 vaga,3 Banheiros,Indisponivel,R$ 1.600/mês,R$ 6.000/ano
0,R$ 12.720.000,Imóvel QQJ1UN,Apartamento em São Paulo,Rua Peixoto Gomide,"Apartamento à venda em Jardim América com 427 m², 4 quartos, 3 suítes, 5 vagas",5 vagas,6 Banheiros,Indisponivel,R$ 8.500/mês,R$ 375/ano
0,R$ 3.400.000,Imóvel EXBVEH,Apartamento em São Paulo,Rua Zacarias de Gois,"Apartamento à venda em Campo Belo com 214 m², 4 quartos, 3 suítes, 4 vagas",4 vagas,4 Banheiros,Lavabo,R$ 3.164/mês,R$ 1.210/mês
0,R$ 2.900.000,Imóvel 1VDUVLN,Apartamento em São Paulo,Rua Tavares Bastos,"Apartamento à venda em Perdizes com 240 m², 4 quartos, 3 suítes, 5 vagas",5 vagas,8 Banheiros,Indisponivel,R$ 3.200/mês,R$ 1.799/ano
0,R$ 2.200.000,Imóvel 1ILWOO0,Apartamento em São Paulo,Rua Cipriano Barata,"Apartamento à venda em Ipiranga com 140 m², 3 quartos, 3 suítes, 2 vagas",2 vagas,5 Banheiros,Lavabo,R$ 1.420/mês,R$ 6.560/ano
0,R$ 3.000.000,Imóvel 1DR64G5,Apartamento em São Paulo,Rua Doutor Paschoal Imperatriz,"Apartamento à venda em Brooklin com 132 m², 2 quartos, 2 suítes, 3 vagas",3 vagas,2 Banheiros,Lavabo,R$ 750/mês,R$ 750/mês
